# SNOMED-CT codes from:
# https://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html
# These are also included in the DICOM standard, subject to the SNOMED-DICOM reuse agreement:
# ftp://medical.nema.org/medical/dicom/Geninfo/Policies/code_policy_20000921.pdf
# Integer Label,Text Label,Segmented Property Category -- CID 7150++,Segmented Property Type,Segmented Property Type Modifier,Color
# Version 2
SlicerLUT=GenericAnatomyColors
142,left frontal bone,(T-D000A;SRT;Anatomical Structure),(T-111C6;SRT;frontal bone),(G-A101;SRT;Left),rgb(203;179;77)
143,right parietal bone,(T-D000A;SRT;Anatomical Structure),(T-111C7;SRT;parietal bone ),(G-A100;SRT;Right),rgb(229;204;109)
144,left parietal bone,(T-D000A;SRT;Anatomical Structure),(T-111C7;SRT;parietal bone ),(G-A101;SRT;Left),rgb(229;204;109)
145,right temporal bone,(T-D000A;SRT;Anatomical Structure),(T-111C8;SRT;temporal bone),(G-A100;SRT;Right),rgb(255;243;152)
146,left temporal bone,(T-D000A;SRT;Anatomical Structure),(T-111C8;SRT;temporal bone),(G-A101;SRT;Left),rgb(255;243;152)
147,right sphenoid bone,(T-D000A;SRT;Anatomical Structure),(T-111B9;SRT;sphenoid bone),(G-A100;SRT;Right),rgb(209;185;85)
148,left sphenoid bone,(T-D000A;SRT;Anatomical Structure),(T-111B9;SRT;sphenoid bone),(G-A101;SRT;Left),rgb(209;185;85)
149,right ethmoid bone,(T-D000A;SRT;Anatomical Structure),(T-111B7;SRT;ethmoid bone),(G-A100;SRT;Right),rgb(248;223;131)
150,left ethmoid bone,(T-D000A;SRT;Anatomical Structure),(T-111B7;SRT;ethmoid bone),(G-A101;SRT;Left),rgb(248;223;131)
151,occipital bone,(T-D000A;SRT;Anatomical Structure),(T-111C9;SRT;occipital bone ),,rgb(255;230;138)
152,maxilla,(T-D000A;SRT;Anatomical Structure),(T-111D4;SRT;maxilla),,rgb(196;172;68)
153,right zygomatic bone,(T-D000A;SRT;Anatomical Structure),(T-111BE;SRT;zygoma),(G-A100;SRT;Right),rgb(255;255;167)
154,right lacrimal bone,(T-D000A;SRT;Anatomical Structure),(T-111B8;SRT;lacrimal bone)	,(G-A100;SRT;Right),rgb(255;250;160)
155,vomer bone,(T-D000A;SRT;Anatomical Structure),(T-21349;SRT;vomer bone),,rgb(255;237;145)
156,right palatine bone,(T-D000A;SRT;Anatomical Structure),(T-111A8;SRT;palatine bone) 	,(G-A100;SRT;Right),rgb(242;217;123)
157,left palatine bone,(T-D000A;SRT;Anatomical Structure),(T-111A8;SRT;palatine bone) 	,(G-A101;SRT;Left),rgb(242;217;123)
158,mandible,(T-D000A;SRT;Anatomical Structure),(T-111D3;SRT;mandible ),,rgb(222;198;101)
159,neck,(T-D000A;SRT;Anatomical Structure),(T-D1607;SRT;neck ),,rgb(177;122;101)
160,muscles of neck,(T-D000A;SRT;Anatomical Structure),(T-13311;SRT;skeletal muscle of neck),,rgb(213;124;109)
161,pharynx,(T-D000A;SRT;Anatomical Structure),(T-55002;SRT;pharynx ),,rgb(184;105;108)
162,larynx,(T-D000A;SRT;Anatomical Structure),(T-2410C;SRT;larynx),,rgb(150;208;243)
163,thyroid gland,(T-D000A;SRT;Anatomical Structure),(T-B0004;SRT;thyroid gland ),,rgb(62;162;114)
164,right parathyroid glands,(T-D000A;SRT;Anatomical Structure),(T-B0006;SRT;parathyroid gland ),(G-A100;SRT;Right),rgb(62;162;114)
165,left parathyroid glands,(T-D000A;SRT;Anatomical Structure),(T-B0006;SRT;parathyroid gland ),(G-A101;SRT;Left),rgb(62;162;114)
166,skeleton of neck,(T-D000A;SRT;Anatomical Structure),(T-D006D;SRT;bone structure of head and/or neck),,rgb(242;206;142)
167,hyoid bone,(T-D000A;SRT;Anatomical Structure),(T-111BF;SRT;hyoid bone),,rgb(250;210;139)
168,cervical vertebral column,(T-D000A;SRT;Anatomical Structure),(T-116E0;SRT;Entire cervical vertebra),,rgb(255;255;207)
169,thorax,(T-D000A;SRT;Anatomical Structure),(T-D3003;SRT;thorax),,rgb(177;122;101)
170,trachea,(T-D000A;SRT;Anatomical Structure),(T-2500A;SRT;trachea),,rgb(182;228;255)
171,bronchi,(T-D000A;SRT;Anatomical Structure),(T-26000;SRT;Bronchi),,rgb(175;216;244)
172,right lung,(T-D000A;SRT;Anatomical Structure),(T-28000;SRT;Lung),(G-A100;SRT;Right),rgb(197;165;145)
173,left lung,(T-D000A;SRT;Anatomical Structure),(T-28000;SRT;Lung),(G-A101;SRT;Left),rgb(197;165;145)
174,superior lobe of right lung,(T-D000A;SRT;Anatomical Structure),(T-28821;SRT;Upper Lobe of Lung),(G-A100;SRT;Right),rgb(172;138;115)
175,superior lobe of left lung,(T-D000A;SRT;Anatomical Structure),(T-28821;SRT;Upper Lobe of Lung),(G-A101;SRT;Left),rgb(172;138;115)
176,middle lobe of right lung,(T-D000A;SRT;Anatomical Structure),(T-28301;SRT;MIddle Lobe of Right Lung),,rgb(202;164;140)
177,inferior lobe of right lung,(T-D000A;SRT;Anatomical Structure),(T-28831;SRT;Lower Lobe of Lung),(G-A100;SRT;Right),rgb(224;186;162)
178,inferior lobe of left lung,(T-D000A;SRT;Anatomical Structure),(T-28831;SRT;Lower Lobe of Lung),(G-A101;SRT;Left),rgb(224;186;162)
179,pleura,(T-D000A;SRT;Anatomical Structure),(T-29001;SRT;pleura),,rgb(255;245;217)
180,heart,(T-D000A;SRT;Anatomical Structure),(T-32000;SRT;Heart),,rgb(206;110;84)
181,right atrium,(T-D000A;SRT;Anatomical Structure),(T-32101;SRT;atrium),,rgb(210;115;89)
182,left atrium,(T-D000A;SRT;Anatomical Structure),(T-32101;SRT;atrium),,rgb(203;108;81)
183,atrial septum,(T-D000A;SRT;Anatomical Structure),(T-32158;SRT;interatrial septum),,rgb(233;138;112)
184,ventricular septum,(T-D000A;SRT;Anatomical Structure),(T-3241C;SRT;interventricular septum),,rgb(195;100;73)
185,right ventricle of heart,(T-D000A;SRT;Anatomical Structure),(T-32500;SRT;Right Ventricle),,rgb(181;85;57)
186,left ventricle of heart,(T-D000A;SRT;Anatomical Structure),(T-32600;SRT;Left Ventricle),,rgb(152;55;13)
187,mitral valve,(T-D000A;SRT;Anatomical Structure),(T-35301;SRT;mitral valve),,rgb(159;63;27)
188,tricuspid valve,(T-D000A;SRT;Anatomical Structure),(T-35102;SRT;tricuspid valve),,rgb(166;70;38)
189,aortic valve,(T-D000A;SRT;Anatomical Structure),(T-35401;SRT;aortic valve),,rgb(218;123;97)
190,pulmonary valve,(T-D000A;SRT;Anatomical Structure),(T-35201;SRT;pulmonary valve),,rgb(225;130;104)
191,aorta,(T-D000A;SRT;Anatomical Structure),(T-42000;SRT;Aorta),,rgb(224;97;76)
192,pericardium,(T-D000A;SRT;Anatomical Structure),(T-39004;SRT;pericardium),,rgb(255;244;209)
193,pericardial cavity,(T-D000A;SRT;Anatomical Structure),(T-39051;SRT;pericardial cavity),,rgb(184;122;154)
194,esophagus,(T-D000A;SRT;Anatomical Structure),(T-56000;SRT;Esophagus),,rgb(211;171;143)
195,thymus,(T-D000A;SRT;Anatomical Structure),(T-C8000;SRT;Thymus Gland),,rgb(47;150;103)
196,mediastinum,(T-D000A;SRT;Anatomical Structure),(T-D3300;SRT;Mediastinum),,rgb(255;244;209)
197,skin of thoracic wall,(T-D000A;SRT;Anatomical Structure),(T-0243C;SRT;skin of chest),,rgb(173;121;88)
198,muscles of thoracic wall,(T-D000A;SRT;Anatomical Structure),(T-14104;SRT;skeletal muscle of thorax),,rgb(188;95;76)
199,skeleton of thorax,(T-D000A;SRT;Anatomical Structure),(T-110E9;SRT;bone organ of thorax),,rgb(255;239;172)
200,thoracic vertebral column,(T-D000A;SRT;Anatomical Structure),(T-1171F;SRT;thoracic vertebral column),,rgb(226;202;134)
201,ribs,(T-D000A;SRT;Anatomical Structure),(T-11300;SRT;Rib),,rgb(253;232;158)
202,sternum,(T-D000A;SRT;Anatomical Structure),(T-11210;SRT;Sternum),,rgb(244;217;154)
203,right clavicle,(T-D000A;SRT;Anatomical Structure),(T-12310;SRT;Clavicle),(G-A100;SRT;Right),rgb(205;179;108)
204,left clavicle,(T-D000A;SRT;Anatomical Structure),(T-12310;SRT;Clavicle),(G-A101;SRT;Left),rgb(205;179;108)
205,abdominal cavity,(T-D000A;SRT;Anatomical Structure),(T-D401A;SRT;abdominal cavity),,rgb(186;124;161)
206,abdomen,(T-D000A;SRT;Anatomical Structure),(T-D4000;SRT;Abdomen),,rgb(177;122;101)
207,peritoneum,(T-D000A;SRT;Anatomical Structure),(T-D4403;SRT;peritoneum),,rgb(255;255;220)
208,omentum,(T-D000A;SRT;Anatomical Structure),(T-D4601;SRT;omentum),,rgb(234;234;194)
209,peritoneal cavity,(T-D000A;SRT;Anatomical Structure),(T-D4447;SRT;peritoneal cavity),,rgb(204;142;178)
210,retroperitoneal space,(T-D000A;SRT;Anatomical Structure),(T-D4902;SRT;retroperitoneal space),,rgb(180;119;153)
211,stomach,(T-D000A;SRT;Anatomical Structure),(T-57001;SRT;stomach),,rgb(216;132;105)
212,duodenum,(T-D000A;SRT;Anatomical Structure),(T-58206;SRT;duodenum),,rgb(255;253;229)
213,small bowel,(T-D000A;SRT;Anatomical Structure),(T-D4033;SRT;Small Intestine),,rgb(205;167;142)
214,colon,(T-D000A;SRT;Anatomical Structure),(T-59302;SRT;Colon),,rgb(204;168;143)
215,anus,(T-D000A;SRT;Anatomical Structure),(T-59902;SRT;Anus),,rgb(255;224;199)
216,liver,(T-D000A;SRT;Anatomical Structure),(T-62000;SRT;Liver),,rgb(221;130;101)
